tipo	color	Titulo grande	copete	texto	variables	diccionario
caja_1_medio	rosa	JUEGO DE NIÑOS		Hoy se lanzó en las jugueterías una gama de [1] muñecas y todas ellas fueron compradas por hombres adultos.		
caja_1_medio	rosa	PÁJAROS GOLPEAN		[1] gasta $200,000 en un trasplante de corazón para su paloma mascota.		
caja_1_medio	rosa	PERRO DE RESCATE		[1] está considerando retirarse después de que un perro fugitivo le salvara accidentalmente un tiro a puerta.		
caja_1_medio	rosa	TÁCTICAS DE IMPACTANTE		[1] ¡Simulan su propia muerte para retrasar el inicio del partido!		
caja_1_medio	rosa	ENLACES A LA LOCURA		[1] besa salchichas crudas para tener suerte antes de cada juego.		
caja_1_medio	rosa	DÍA PERRÓNICO		El día de llevar a tu mascota al trabajo salió mal cuando [1] llegó con 36 PERROS.		
caja_1_medio	rosa	EL PELO DE HOY, MAÑANA NO ESTÁ		[1] paga el corte de pelo más caro del mundo.		
caja_1_medio	rosa	HONESTIDAD ENTRE LOS AFICIONADOS		Los fanáticos de [1] inventaron un cántico simplemente para informarle que tenía mala higiene personal.		
caja_1_medio	rosa	EL GRAN DÍA		[1] puso a la venta 10.000 entradas para su próxima boda y los ansiosos fans las agotaron en minutos.		
caja_1_medio	rosa	DINERO A DINERO		Solo dos días después de firmar un nuevo y lucrativo contrato, [1] ha ganado más de un millón de dólares en la lotería estatal.		
caja_1_medio	rosa	RÉCORD DE TARJETAS ROJAS		¡Faltas súper rápidas provocaron triple tarjeta roja para [1]!		
caja_1_medio	rosa	Confusión del jugador		Un error en la transferencia de jugadores provoca que [1] jueguen para ambos equipos en el mismo partido.		
caja_1_medio	rosa	¿QUIÉNES FORMAN PARTE DEL EQUIPO?		El periódico filtra fotografías que prueban que [1] no es el verdadero [1].		
caja_1_medio	rosa	OVNI PERDIDO		Toda una multitud se perdió la aparición de un OVNI mientras veía un gol espectacular [1].		
caja_1_medio	rosa	¡CÉSPED ARRIBA!		Un error de programación significa que el partido se juega en un campo sin césped. [1] ¡sufre una lesión!		
caja_1_medio	rosa	¿SUERTE O LOCO?		[1] vuelve a faltar al entrenamiento tras depositar su confianza en un "cacahuete de la suerte".		
caja_1_medio	rosa	AFICIONADO ARRESTADO		[1] sufre robo de identidad tras dar un autógrafo a un fan.		
caja_1_medio	rosa	SIN VIDAS		Gato que arañó [1] durante un partido de liga encontrado muerto.		
caja_1_medio	rosa	SALVARSE POR UN PELO		Los estudios muestran que los jugadores con vello corporal ganan más partidos. [1] se niega a afeitarse de nuevo.		
caja_1_medio	rosa	FIEBRE DEL ORO		Partido suspendido después de que [1] descubriera monedas antiguas en el campo.		
caja_1_medio	rosa	"¡SOY UN ALIENÍGENA!"		El análisis de ADN revela que [1] es 12% marciano.		
caja_1_medio	rosa	EN EL MUELLE		[1] se enfrenta a una sanción de la liga tras utilizar un doble robótico.		
caja_1_medio	rosa	ENCANTADO DE CONOCERTE		[1] invierte en una empresa que crea loción para después del afeitado con aroma a hamburguesa.		
caja_1_medio	rosa	EN UN APURO		El intento de nuevo récord mundial fracasó después de que [1] comiera solo 20 pepinillos en 1 minuto.		
caja_1_medio	rosa	ÉXITO VIRTUAL		[1] representa a su país en el torneo Fulbo en línea.		
caja_1_medio	rosa	MENOS ES MÁS		[1] exige una REDUCCIÓN salarial para poder firmar la extensión del contrato.		
caja_1_medio	rosa	UN MUNDO FELIZ		¿Podría [1] dejar la liga para dedicarse a las MMA?		
caja_1_medio	rosa	¡25 GOLES PARA [1]!		¿Y lo mejor está aún por llegar?		
caja_1_medio	rosa	TOY STORY		[1] lanza una nueva gama de libros con muñecos parecidos.		
caja_1_medio	rosa	LOCURA DE MARZO		Jugadores fotografiados uniéndose accidentalmente a una manifestación contra Fulbo.		
caja_1_medio	rosa	FULBOXING		[1] gana el penalti tras un nocaut en la primera mitad.		
caja_1_medio	rosa	[1] ¿PROHIBIDO DE POR VIDA?		Demasiadas peleas en un bar local acaban en los tribunales.		
caja_1_medio	rosa	DESARROLLO DETENIDO		Jugadores detenidos durante un entrenamiento después de que la policía recibiera una denuncia falsa.		
caja_1_medio	rosa	VENTAJA DE JUGAR EN CASA		[1] compra propiedades cerca de todos los estadios de la liga.		
win	azul	¡Ganaste [sobres] sobre / s!		¡Ábrelo para ganar nuevos jugadores, oro o mejoras!	played	
